"cohort_month","order_month","users","retention_pct"
"2023-01","2023-01",270,100.00
"2023-01","2023-02",47,17.41
"2023-01","2023-03",52,19.26
"2023-01","2023-04",42,15.56
"2023-01","2023-05",44,16.30
"2023-01","2023-06",45,16.67
"2023-01","2023-07",65,24.07
"2023-01","2023-08",41,15.19
"2023-01","2023-09",56,20.74
"2023-01","2023-10",50,18.52
"2023-01","2023-11",49,18.15
"2023-01","2023-12",47,17.41
"2023-01","2024-01",55,20.37
"2023-01","2024-02",53,19.63
"2023-01","2024-03",36,13.33
"2023-01","2024-04",53,19.63
"2023-01","2024-05",27,10.00
"2023-02","2023-02",209,100.00
"2023-02","2023-03",47,22.49
"2023-02","2023-04",44,21.05
"2023-02","2023-05",43,20.57
"2023-02","2023-06",38,18.18
"2023-02","2023-07",37,17.70
"2023-02","2023-08",35,16.75
"2023-02","2023-09",37,17.70
"2023-02","2023-10",35,16.75
"2023-02","2023-11",41,19.62
"2023-02","2023-12",42,20.10
"2023-02","2024-01",41,19.62
"2023-02","2024-02",43,20.57
"2023-02","2024-03",47,22.49
"2023-02","2024-04",24,11.48
"2023-02","2024-05",17,8.13
"2023-03","2023-03",200,100.00
"2023-03","2023-04",45,22.50
"2023-03","2023-05",38,19.00
"2023-03","2023-06",34,17.00
"2023-03","2023-07",43,21.50
"2023-03","2023-08",36,18.00
"2023-03","2023-09",41,20.50
"2023-03","2023-10",39,19.50
"2023-03","2023-11",34,17.00
"2023-03","2023-12",34,17.00
"2023-03","2024-01",33,16.50
"2023-03","2024-02",26,13.00
"2023-03","2024-03",41,20.50
"2023-03","2024-04",35,17.50
"2023-03","2024-05",18,9.00
"2023-04","2023-04",160,100.00
"2023-04","2023-05",28,17.50
"2023-04","2023-06",26,16.25
"2023-04","2023-07",27,16.88
"2023-04","2023-08",27,16.88
"2023-04","2023-09",20,12.50
"2023-04","2023-10",25,15.63
"2023-04","2023-11",31,19.38
"2023-04","2023-12",33,20.63
"2023-04","2024-01",29,18.13
"2023-04","2024-02",36,22.50
"2023-04","2024-03",38,23.75
"2023-04","2024-04",23,14.38
"2023-04","2024-05",15,9.38
"2023-05","2023-05",115,100.00
"2023-05","2023-06",14,12.17
"2023-05","2023-07",26,22.61
"2023-05","2023-08",17,14.78
"2023-05","2023-09",19,16.52
"2023-05","2023-10",20,17.39
"2023-05","2023-11",27,23.48
"2023-05","2023-12",21,18.26
"2023-05","2024-01",19,16.52
"2023-05","2024-02",28,24.35
"2023-05","2024-03",24,20.87
"2023-05","2024-04",28,24.35
"2023-05","2024-05",7,6.09
"2023-06","2023-06",109,100.00
"2023-06","2023-07",20,18.35
"2023-06","2023-08",15,13.76
"2023-06","2023-09",17,15.60
"2023-06","2023-10",23,21.10
"2023-06","2023-11",14,12.84
"2023-06","2023-12",24,22.02
"2023-06","2024-01",19,17.43
"2023-06","2024-02",26,23.85
"2023-06","2024-03",16,14.68
"2023-06","2024-04",12,11.01
"2023-06","2024-05",8,7.34
"2023-07","2023-07",82,100.00
"2023-07","2023-08",15,18.29
"2023-07","2023-09",13,15.85
"2023-07","2023-10",8,9.76
"2023-07","2023-11",14,17.07
"2023-07","2023-12",16,19.51
"2023-07","2024-01",17,20.73
"2023-07","2024-02",16,19.51
"2023-07","2024-03",12,14.63
"2023-07","2024-04",11,13.41
"2023-07","2024-05",11,13.41
"2023-08","2023-08",78,100.00
"2023-08","2023-09",12,15.38
"2023-08","2023-10",23,29.49
"2023-08","2023-11",10,12.82
"2023-08","2023-12",13,16.67
"2023-08","2024-01",18,23.08
"2023-08","2024-02",8,10.26
"2023-08","2024-03",11,14.10
"2023-08","2024-04",13,16.67
"2023-08","2024-05",10,12.82
"2023-09","2023-09",55,100.00
"2023-09","2023-10",10,18.18
"2023-09","2023-11",9,16.36
"2023-09","2023-12",8,14.55
"2023-09","2024-01",10,18.18
"2023-09","2024-02",7,12.73
"2023-09","2024-03",9,16.36
"2023-09","2024-04",11,20.00
"2023-09","2024-05",5,9.09
"2023-10","2023-10",48,100.00
"2023-10","2023-11",8,16.67
"2023-10","2023-12",9,18.75
"2023-10","2024-01",9,18.75
"2023-10","2024-02",10,20.83
"2023-10","2024-03",7,14.58
"2023-10","2024-04",8,16.67
"2023-10","2024-05",6,12.50
"2023-11","2023-11",20,100.00
"2023-11","2023-12",5,25.00
"2023-11","2024-01",4,20.00
"2023-11","2024-02",6,30.00
"2023-11","2024-03",2,10.00
"2023-11","2024-04",2,10.00
"2023-11","2024-05",1,5.00
"2023-12","2023-12",30,100.00
"2023-12","2024-01",5,16.67
"2023-12","2024-02",5,16.67
"2023-12","2024-03",5,16.67
"2023-12","2024-04",8,26.67
"2023-12","2024-05",3,10.00
"2024-01","2024-01",25,100.00
"2024-01","2024-02",3,12.00
"2024-01","2024-03",4,16.00
"2024-01","2024-04",2,8.00
"2024-01","2024-05",1,4.00
"2024-02","2024-02",22,100.00
"2024-02","2024-03",1,4.55
"2024-02","2024-04",7,31.82
"2024-02","2024-05",2,9.09
"2024-03","2024-03",10,100.00
"2024-03","2024-04",3,30.00
"2024-03","2024-05",1,10.00
"2024-04","2024-04",10,100.00
"2024-04","2024-05",1,10.00
"2024-05","2024-05",9,100.00
