"customer_id","frequency","monetary","r_score","f_score","m_score","segment"
C1174,1,89.34,1,4,4,At Risk
C0989,1,152.34,1,4,3,At Risk
C0917,1,87.27,1,4,4,At Risk
C0754,1,115.50,1,4,4,At Risk
C0619,1,83.85,1,4,4,At Risk
C0734,1,20.54,1,4,4,At Risk
C0318,1,61.75,1,4,4,At Risk
C0341,1,146.98,1,4,3,At Risk
C0220,2,93.74,1,3,4,At Risk
C0955,1,101.08,1,4,4,At Risk
C0883,1,82.47,1,4,4,At Risk
C0098,1,139.15,1,4,3,At Risk
C1334,1,152.64,1,4,3,At Risk
C1489,1,127.29,1,4,4,At Risk
C0081,1,27.16,1,4,4,At Risk
C0490,1,74.83,1,4,4,At Risk
C0891,1,114.96,1,4,4,At Risk
C0031,1,185.97,1,4,3,At Risk
C0632,1,137.10,1,4,3,At Risk
C0944,2,231.14,1,2,3,Others
C1306,1,154.60,1,4,3,At Risk
C0804,2,355.02,1,3,2,At Risk
C0241,1,61.66,1,4,4,At Risk
C0881,1,72.34,1,4,4,At Risk
C0077,1,22.17,1,4,4,At Risk
C0753,1,104.25,1,4,4,At Risk
C1124,1,243.11,1,4,3,At Risk
C0738,1,181.14,1,4,3,At Risk
C0187,1,66.58,1,4,4,At Risk
C0974,1,83.67,1,4,4,At Risk
C0107,1,178.82,1,4,3,At Risk
C0269,1,78.06,1,4,4,At Risk
C0659,2,130.89,1,3,4,At Risk
C0460,3,463.02,1,1,1,Hibernating
C1496,2,225.00,1,2,3,Others
C0926,1,196.84,1,4,3,At Risk
C1346,1,89.86,1,4,4,At Risk
C1140,1,58.86,1,4,4,At Risk
C0996,1,98.78,1,4,4,At Risk
C0552,2,527.96,1,3,1,At Risk
C1038,1,135.70,1,4,4,At Risk
C0264,1,74.66,1,4,4,At Risk
C0131,1,203.61,1,4,3,At Risk
C1184,2,79.60,1,3,4,At Risk
C1321,1,5.40,1,4,4,At Risk
C1405,1,270.96,1,4,2,At Risk
C1274,1,35.61,1,4,4,At Risk
C1478,1,62.25,1,4,4,At Risk
C0332,1,240.00,1,4,3,At Risk
C1371,3,426.25,1,2,1,Others
C0674,2,374.10,1,3,2,At Risk
C0539,1,171.72,1,4,3,At Risk
C0915,1,113.24,1,4,4,At Risk
C1314,2,97.06,1,3,4,At Risk
C0545,2,73.69,1,3,4,At Risk
C1100,2,129.76,1,3,4,At Risk
C0125,2,102.53,1,3,4,At Risk
C0262,1,25.53,1,4,4,At Risk
C1030,1,228.93,1,4,3,At Risk
C0163,1,76.09,1,3,4,At Risk
C1291,2,240.60,1,2,3,Others
C0298,4,393.57,1,1,1,Hibernating
C0896,1,120.87,1,4,4,At Risk
C0120,1,85.42,1,4,4,At Risk
C0810,1,92.73,1,4,4,At Risk
C0194,1,64.29,1,3,4,At Risk
C0080,1,11.60,1,4,4,At Risk
C0985,2,211.59,1,2,3,Others
C0236,1,152.65,1,4,3,At Risk
C0052,1,42.84,1,4,4,At Risk
C1148,1,114.24,1,4,4,At Risk
C1373,2,37.17,1,2,4,Others
C0299,2,50.39,1,3,4,At Risk
C0555,1,112.40,1,4,4,At Risk
C1121,2,268.44,1,3,2,At Risk
C1169,1,140.40,1,4,3,At Risk
C0389,3,134.71,1,2,4,Others
C0004,1,23.14,1,4,4,At Risk
C1345,3,426.73,1,2,1,Others
C0029,1,117.29,1,4,4,At Risk
C0527,1,16.52,1,4,4,At Risk
C0816,2,156.85,1,3,3,At Risk
C0797,1,42.84,1,4,4,At Risk
C1286,1,48.04,1,4,4,At Risk
C1193,1,61.66,1,4,4,At Risk
C0806,2,344.42,1,3,2,At Risk
C0688,1,180.57,1,4,3,At Risk
C0238,1,139.87,1,4,3,At Risk
C1375,1,168.52,1,4,3,At Risk
C0166,1,44.92,1,4,4,At Risk
C0059,1,70.82,1,4,4,At Risk
C0727,2,335.52,1,3,2,At Risk
C0121,2,279.92,1,3,2,At Risk
C0980,1,261.17,1,4,2,At Risk
C1203,1,80.70,1,4,4,At Risk
C0574,1,43.51,1,4,4,At Risk
C0119,1,33.16,1,4,4,At Risk
C1420,2,27.11,1,3,4,At Risk
C1066,1,95.78,1,4,4,At Risk
C0450,1,183.69,1,4,3,At Risk
C1498,1,102.36,1,4,4,At Risk
C0585,2,191.12,1,3,3,At Risk
C0406,2,359.23,1,3,2,At Risk
C0995,2,325.60,1,3,2,At Risk
C0444,1,232.07,1,4,3,At Risk
C0457,3,435.62,1,2,1,Others
C0372,2,375.33,1,3,2,At Risk
C0941,1,145.06,1,4,3,At Risk
C0242,1,228.82,1,4,3,At Risk
C0711,1,196.46,1,4,3,At Risk
C1435,1,115.29,1,4,4,At Risk
C0360,2,182.97,1,3,3,At Risk
C1075,1,72.31,1,4,4,At Risk
C0351,1,35.86,1,4,4,At Risk
C1260,2,316.05,1,3,2,At Risk
