"month","paying_users","total_orders","revenue","arppu","aov","arpu"
"2023-01",181,197,20688.38,114.30,105.02,13.79
"2023-02",175,196,20781.99,118.75,106.03,13.85
"2023-03",213,228,25307.37,118.81,111.00,16.87
"2023-04",199,216,24070.28,120.96,111.44,16.05
"2023-05",187,200,22403.62,119.81,112.02,14.94
"2023-06",194,213,24679.59,127.21,115.87,16.45
"2023-07",210,229,26194.10,124.73,114.38,17.46
"2023-08",178,194,22492.77,126.36,115.94,15.00
"2023-09",187,204,23581.87,126.11,115.60,15.72
"2023-10",192,212,23973.02,124.86,113.08,15.98
"2023-11",176,191,22385.84,127.19,117.20,14.92
"2023-12",205,213,22516.46,109.84,105.71,15.01
"2024-01",191,204,21776.08,114.01,106.75,14.52
"2024-02",200,211,21795.08,108.98,103.29,14.53
"2024-03",186,201,24625.26,132.39,122.51,16.42
"2024-04",168,178,19990.87,118.99,112.31,13.33
"2024-05",95,101,11087.74,116.71,109.78,7.39
