"day","dau","wau","mau","stickiness"
2023-01-01,9,9,181,4.97
2023-01-02,3,46,181,1.66
2023-01-03,12,46,181,6.63
2023-01-04,5,46,181,2.76
2023-01-05,9,46,181,4.97
2023-01-06,7,46,181,3.87
2023-01-07,6,46,181,3.31
2023-01-08,4,46,181,2.21
2023-01-09,3,42,181,1.66
2023-01-10,2,42,181,1.10
2023-01-11,9,42,181,4.97
2023-01-12,10,42,181,5.52
2023-01-13,6,42,181,3.31
2023-01-14,5,42,181,2.76
2023-01-15,9,42,181,4.97
2023-01-16,4,43,181,2.21
2023-01-17,9,43,181,4.97
2023-01-18,7,43,181,3.87
2023-01-19,5,43,181,2.76
2023-01-20,5,43,181,2.76
2023-01-21,7,43,181,3.87
2023-01-22,6,43,181,3.31
2023-01-23,4,44,181,2.21
2023-01-24,7,44,181,3.87
2023-01-25,8,44,181,4.42
2023-01-26,7,44,181,3.87
2023-01-27,4,44,181,2.21
2023-01-28,7,44,181,3.87
2023-01-29,7,44,181,3.87
2023-01-30,1,46,181,0.55
2023-01-31,8,46,181,4.42
2023-02-01,9,46,175,5.14
2023-02-02,6,46,175,3.43
2023-02-03,6,46,175,3.43
2023-02-04,12,46,175,6.86
2023-02-05,5,46,175,2.86
2023-02-06,5,43,175,2.86
2023-02-07,4,43,175,2.29
2023-02-08,3,43,175,1.71
2023-02-09,10,43,175,5.71
2023-02-10,13,43,175,7.43
2023-02-11,4,43,175,2.29
2023-02-12,8,43,175,4.57
2023-02-13,3,52,175,1.71
2023-02-14,7,52,175,4.00
2023-02-15,8,52,175,4.57
2023-02-16,7,52,175,4.00
2023-02-17,12,52,175,6.86
2023-02-18,10,52,175,5.71
2023-02-19,6,52,175,3.43
2023-02-20,4,45,175,2.29
2023-02-21,8,45,175,4.57
2023-02-22,3,45,175,1.71
2023-02-23,7,45,175,4.00
2023-02-24,8,45,175,4.57
2023-02-25,8,45,175,4.57
2023-02-26,7,45,175,4.00
2023-02-27,8,55,175,4.57
2023-02-28,5,55,175,2.86
2023-03-01,5,55,213,2.35
2023-03-02,13,55,213,6.10
2023-03-03,7,55,213,3.29
2023-03-04,8,55,213,3.76
2023-03-05,9,55,213,4.23
2023-03-06,10,53,213,4.69
2023-03-07,11,53,213,5.16
2023-03-08,7,53,213,3.29
2023-03-09,4,53,213,1.88
2023-03-10,6,53,213,2.82
2023-03-11,6,53,213,2.82
2023-03-12,9,53,213,4.23
2023-03-13,10,58,213,4.69
2023-03-14,11,58,213,5.16
2023-03-15,12,58,213,5.63
2023-03-16,3,58,213,1.41
2023-03-17,12,58,213,5.63
2023-03-18,3,58,213,1.41
2023-03-19,8,58,213,3.76
2023-03-20,8,44,213,3.76
2023-03-21,7,44,213,3.29
2023-03-22,4,44,213,1.88
2023-03-23,2,44,213,0.94
2023-03-24,9,44,213,4.23
