"order_id","customer_id","restaurant_id","order_time","delivery_time","status","cuisine","city","rating","signup_date","item_id","quantity","price","line_revenue"
O00001,C1234,R041,2023-01-17 00:00:00.000,2023-01-17 00:43:00.000,Late,Italian,Manchester,4.9,2022-11-03,M0197,2,7.93,15.86
O00001,C1234,R041,2023-01-17 00:00:00.000,2023-01-17 00:43:00.000,Late,Italian,Manchester,4.9,2022-11-03,M0223,1,14.20,14.20
O00001,C1234,R041,2023-01-17 00:00:00.000,2023-01-17 00:43:00.000,Late,Italian,Manchester,4.9,2022-11-03,M0196,3,26.56,79.68
O00001,C1234,R041,2023-01-17 00:00:00.000,2023-01-17 00:43:00.000,Late,Italian,Manchester,4.9,2022-11-03,M0326,3,6.03,18.09
O00002,C1017,R019,2023-04-24 00:00:00.000,2023-04-24 00:33:00.000,Cancelled,Italian,London,4.1,2023-09-22,M0172,3,35.65,106.95
O00002,C1017,R019,2023-04-24 00:00:00.000,2023-04-24 00:33:00.000,Cancelled,Italian,London,4.1,2023-09-22,M0115,3,12.41,37.23
O00002,C1017,R019,2023-04-24 00:00:00.000,2023-04-24 00:33:00.000,Cancelled,Italian,London,4.1,2023-09-22,M0144,1,9.22,9.22
O00002,C1017,R019,2023-04-24 00:00:00.000,2023-04-24 00:33:00.000,Cancelled,Italian,London,4.1,2023-09-22,M0105,2,37.77,75.54
O00003,C0488,R045,2024-01-17 00:00:00.000,2024-01-17 00:29:00.000,Cancelled,Indian,Manchester,4.1,2022-09-28,M0231,1,12.99,12.99
O00003,C0488,R045,2024-01-17 00:00:00.000,2024-01-17 00:29:00.000,Cancelled,Indian,Manchester,4.1,2022-09-28,M0243,2,25.00,50.00
O00004,C1452,R086,2023-03-27 00:00:00.000,2023-03-27 00:31:00.000,Late,Chinese,Leeds,4.9,2022-11-23,M0198,1,22.90,22.90
